angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.3,"[776, 265, 295, 371]",0.0,0.2,0.0,0.26,0.18,0.06
0.3,"[776, 265, 295, 371]",0.0,0.19,0.0,0.27,0.18,0.06
0.3,"[776, 265, 295, 371]",0.0,0.19,0.0,0.27,0.18,0.06
0.28,"[777, 265, 293, 369]",0.0,0.21,0.0,0.25,0.2,0.05
0.32,"[777, 265, 294, 370]",0.0,0.17,0.0,0.23,0.24,0.04
0.26,"[779, 265, 291, 368]",0.0,0.17,0.0,0.32,0.21,0.03
0.26,"[779, 265, 291, 368]",0.0,0.17,0.0,0.32,0.21,0.03
0.26,"[779, 265, 291, 368]",0.0,0.17,0.0,0.32,0.21,0.03
0.06,"[777, 268, 290, 366]",0.0,0.21,0.0,0.27,0.45,0.0
0.06,"[777, 268, 290, 366]",0.0,0.21,0.0,0.28,0.45,0.0
0.19,"[777, 267, 290, 366]",0.0,0.21,0.0,0.31,0.29,0.0
0.17,"[777, 268, 289, 364]",0.0,0.23,0.0,0.28,0.31,0.0
0.17,"[777, 268, 289, 364]",0.0,0.23,0.0,0.28,0.31,0.0
0.22,"[777, 267, 293, 367]",0.0,0.24,0.0,0.26,0.25,0.02
0.23,"[777, 267, 293, 367]",0.0,0.25,0.0,0.26,0.25,0.02
0.2,"[778, 266, 291, 367]",0.0,0.23,0.0,0.32,0.22,0.02
0.2,"[778, 266, 291, 367]",0.0,0.23,0.0,0.32,0.22,0.02
0.2,"[778, 266, 291, 367]",0.0,0.23,0.0,0.32,0.22,0.02
0.17,"[780, 266, 288, 366]",0.0,0.19,0.0,0.32,0.29,0.02
0.16,"[779, 267, 289, 364]",0.0,0.2,0.0,0.29,0.33,0.02
0.18,"[777, 266, 292, 367]",0.0,0.25,0.0,0.27,0.27,0.03
0.18,"[777, 266, 292, 367]",0.0,0.25,0.0,0.27,0.27,0.03
0.18,"[777, 266, 292, 367]",0.0,0.25,0.0,0.27,0.27,0.03
0.23,"[775, 256, 288, 384]",0.0,0.22,0.0,0.25,0.26,0.04
0.24,"[775, 256, 288, 384]",0.0,0.21,0.0,0.25,0.26,0.04
0.24,"[774, 257, 288, 382]",0.0,0.2,0.0,0.27,0.24,0.04
0.2,"[774, 256, 287, 382]",0.0,0.18,0.0,0.29,0.3,0.03
0.2,"[774, 256, 287, 382]",0.0,0.18,0.0,0.29,0.3,0.03
0.2,"[779, 264, 284, 370]",0.0,0.24,0.0,0.26,0.23,0.05
0.2,"[779, 264, 284, 370]",0.0,0.24,0.0,0.26,0.23,0.05
0.18,"[768, 262, 296, 372]",0.0,0.16,0.0,0.46,0.15,0.06
0.18,"[768, 261, 296, 373]",0.0,0.17,0.0,0.43,0.16,0.06
0.18,"[768, 261, 296, 373]",0.0,0.17,0.0,0.43,0.16,0.06
0.19,"[774, 250, 286, 390]",0.0,0.2,0.0,0.35,0.15,0.1
0.18,"[774, 250, 286, 391]",0.0,0.22,0.0,0.33,0.16,0.12
0.21,"[775, 256, 283, 371]",0.0,0.23,0.0,0.31,0.19,0.05
0.22,"[775, 250, 285, 384]",0.0,0.2,0.0,0.29,0.18,0.1
0.22,"[775, 250, 285, 384]",0.0,0.2,0.0,0.29,0.18,0.1
0.25,"[777, 256, 279, 370]",0.0,0.2,0.0,0.32,0.16,0.07
0.24,"[776, 256, 280, 370]",0.0,0.21,0.0,0.31,0.18,0.06
0.22,"[775, 256, 281, 369]",0.0,0.23,0.0,0.28,0.19,0.08
0.21,"[776, 256, 280, 369]",0.0,0.22,0.0,0.33,0.18,0.06
0.21,"[776, 256, 280, 369]",0.0,0.22,0.0,0.33,0.18,0.06
0.21,"[778, 250, 279, 381]",0.0,0.2,0.01,0.33,0.19,0.08
0.2,"[778, 250, 279, 381]",0.0,0.19,0.01,0.34,0.18,0.08
0.19,"[778, 249, 279, 382]",0.0,0.16,0.01,0.41,0.14,0.08
0.19,"[778, 249, 279, 382]",0.0,0.16,0.01,0.41,0.14,0.08
0.19,"[778, 249, 279, 382]",0.0,0.16,0.01,0.41,0.14,0.08
0.19,"[780, 250, 278, 381]",0.0,0.17,0.01,0.34,0.17,0.12
0.19,"[780, 250, 278, 381]",0.0,0.17,0.01,0.34,0.17,0.11
0.24,"[783, 252, 277, 379]",0.0,0.17,0.0,0.34,0.18,0.07
0.24,"[783, 252, 277, 379]",0.0,0.17,0.0,0.34,0.18,0.07
0.24,"[783, 252, 277, 379]",0.0,0.17,0.0,0.34,0.18,0.07
0.19,"[780, 259, 277, 363]",0.0,0.25,0.0,0.26,0.25,0.05
0.19,"[779, 259, 279, 363]",0.0,0.26,0.0,0.26,0.25,0.05
0.07,"[778, 271, 279, 349]",0.0,0.31,0.0,0.29,0.33,0.0
0.07,"[778, 271, 279, 349]",0.0,0.31,0.0,0.29,0.33,0.0
0.07,"[778, 271, 279, 349]",0.0,0.31,0.0,0.28,0.33,0.0
0.13,"[776, 262, 288, 363]",0.0,0.27,0.0,0.29,0.3,0.0
0.13,"[776, 262, 288, 363]",0.0,0.26,0.0,0.3,0.3,0.0
0.24,"[778, 267, 284, 357]",0.0,0.24,0.0,0.27,0.23,0.01
0.23,"[779, 268, 283, 354]",0.0,0.26,0.0,0.29,0.21,0.01
0.23,"[779, 268, 283, 354]",0.0,0.26,0.0,0.29,0.21,0.01
0.32,"[782, 270, 282, 353]",0.0,0.26,0.0,0.22,0.18,0.01
0.31,"[781, 270, 283, 353]",0.0,0.3,0.0,0.22,0.15,0.02
0.34,"[784, 271, 281, 351]",0.0,0.32,0.0,0.17,0.15,0.02
0.36,"[784, 272, 281, 350]",0.0,0.3,0.0,0.17,0.15,0.01
0.36,"[784, 272, 281, 350]",0.0,0.3,0.0,0.17,0.15,0.01
0.33,"[784, 271, 282, 352]",0.0,0.34,0.0,0.18,0.14,0.02
0.32,"[784, 271, 282, 352]",0.0,0.35,0.0,0.18,0.13,0.02
0.34,"[785, 272, 279, 350]",0.0,0.33,0.0,0.19,0.12,0.02
0.33,"[785, 272, 279, 350]",0.0,0.33,0.0,0.2,0.12,0.02
0.33,"[785, 272, 279, 350]",0.0,0.33,0.0,0.2,0.12,0.02
0.36,"[778, 262, 289, 363]",0.0,0.28,0.0,0.19,0.13,0.03
0.38,"[778, 262, 290, 364]",0.0,0.25,0.0,0.21,0.14,0.03
0.32,"[778, 261, 289, 364]",0.0,0.2,0.0,0.29,0.14,0.04
0.35,"[778, 261, 288, 364]",0.0,0.22,0.0,0.24,0.15,0.04
0.35,"[778, 261, 288, 364]",0.0,0.22,0.0,0.24,0.15,0.04
0.41,"[782, 271, 284, 354]",0.0,0.26,0.0,0.16,0.13,0.04
0.41,"[782, 271, 284, 354]",0.0,0.26,0.0,0.16,0.13,0.04
0.45,"[783, 278, 281, 351]",0.0,0.25,0.0,0.15,0.13,0.03
0.45,"[783, 278, 281, 351]",0.0,0.24,0.0,0.14,0.13,0.03
0.45,"[783, 278, 281, 351]",0.0,0.24,0.0,0.14,0.13,0.03
0.24,"[777, 263, 298, 374]",0.0,0.22,0.0,0.31,0.17,0.06
0.25,"[777, 264, 298, 373]",0.0,0.24,0.0,0.26,0.17,0.08
0.28,"[777, 265, 298, 373]",0.0,0.23,0.0,0.23,0.18,0.08
0.27,"[777, 265, 298, 373]",0.0,0.24,0.0,0.23,0.18,0.08
0.27,"[777, 265, 298, 373]",0.0,0.24,0.0,0.23,0.18,0.08
0.25,"[777, 263, 298, 376]",0.0,0.19,0.0,0.31,0.16,0.08
0.25,"[777, 263, 298, 376]",0.0,0.19,0.0,0.31,0.16,0.08
